term,antonyms
отсталый,"передовой, развитый"
отступать,наступать
отталкивание,притяжение
отталкивать,"влечь, привлекать, притягивать"
оттепель,"заморозки, похолодание"
оттуда,отсюда
отчетливый,расплывчатый
отчизна,чужбина
официально,неофициально
официальность,неофициальность
официальный,неофициальный
очарование,разочарование
очаровывать,разочаровывать
очаровываться,разочаровываться
очернение,обеление
очернять,обелять
падать,"подниматься, подыматься, вздыматься, взлетать, вставать"
падение,"взлет, возвышение, подъем"
памятливый,забывчивый
память,"беспамятство, забвение"
парадный,"будничный, повседневный, черный"
пассивный,"активный, деятельный"
пачкать,"начищать, отмывать, чистить"
первостепенность,второстепенность
первостепенный,второстепенный
первый,последний
перебор,недохватка
перегонять,отставать
перед,"после, зад"
перёд,"после, зад"
передача,прием
передвигаться,"стоять, не двигаться"
передний,задний
передовая,тыл
передовой,"отсталый, отстающий"
передок,задок
переменчивый,постоянный
пересолено,недосолено
печалить,"веселить, радовать"
печальный,"радостный, счастливый, комический"
плакать,"смеяться, хохотать"
плач,"смех, хохот"
плодовитый,бесплодный
плодородный,бесплодный
плохо,хорошо
плохой,"совершенный, первейший, первосортный, полезный, самолучший, наилучший, хороший, положительный, добрый"
плюс,минус
по,против
победа,поражение
победитель,"побеждённый, проигравший"
побеждать,"проигрывать, терпеть поражение"
поближе,подальше
побольше,поменьше
поборник,"враг, противник"
повалить,поднять
поверить,разувериться
поверхностный,"глубокий, углублённый, основательный"
поверху,понизу
повиновение,неповиновение
повседневный,"праздничный, нарядный"
повышать,"понижать, снижать"
повышаться,"понижаться, снижаться"
повышение,"понижение, снижение"
погибать,воскресать
погода,"ненастье, непогода"
погожий,"ненастный, дождливый, пасмурный, хмурый"
погружать,разгружать
погружаться,всплывать
погружение,всплытие
погрузка,"выгрузка, разгрузка"
подвиг,преступление
подвигать,отодвигать
подвижность,неподвижность
подвижный,"неповоротливый, неуклюжий, нерасторопный"
поддельный,"подлинный, настоящий"
поджигать,тушить
подковывать,расковывать
подлинник,подделка
подлинный,"мнимый, поддельный, фальшивый"
поднимать,"опускать, понижать, спускать"
подниматься,"спускаться, ложиться, опускаться, понижаться, садиться"
поднятие,опускание
пододвигать,отодвигать
подружиться,"поссориться, раздружиться"
подтверждать,опровергать
подтверждение,опровержение
подходить,отходить
подъезжать,отъезжать
подъём,"спад, спуск, упадок"
позавчера,послезавтра
поздний,ранний
позитивно,негативно
позитивный,негативный
показание,противопоказание
показываться,"исчезать, пропадать, скрываться"
покладистый,"непокладистый, несговорчивый"
покой,"тревога, беспокойство, буря, волнение"
покойный,беспокойный
покорный,"непокорный, строптивый"
покупатель,продавец
покупать,продавать
покупаться,продаваться
пол,потолок
полдень,полночь
полдневный,полночный
полезно,вредно
полезность,вредность
полезный,"вредный, бесполезный"
полнеть,худеть
полнота,"пустота, худоба"
полный,"неполный, порожний, пустой, худой, худощавый"
пологий,крутой
положительно,отрицательно
положительный,отрицательный
полуденный,"полуночный, полунощный"
получать,"отдавать, тратить"
полынь,мед
польза,"вред, ущерб"
полюбить,разлюбить
полярный,тропический
помнить,забывать
помниться,забываться
помогать,"вредить, мешать"
помощь,помеха
понимание,непонимание
поновому,постарому
понятно,непонятно
понятность,непонятность
понятный,"непонятный, неясный"
поправляться,худеть
поражение,победа
порождать,убивать
портить,"исправлять, чинить"
порядок,"беспорядок, непорядок, хаос, анархия, бедлам, ералаш"
порядочность,непорядочность
порядочный,"непорядочный, низкий, пошлый"
послушный,"баловный, избалованный, непокорный, строптивый, непослушный"
поспешность,промедление
постный,"непостный, скоромный"
постоянно,временно
постоянный,"непостоянный, переменный, изменчивый, временный"
потепление,похолодание
потом,"сначала, сперва"
поумному,поглупому
похвала,"порицание, брань, осуждение, ругань"
похвально,предосудительно
похвальный,предосудительный
походить,отличаться
похожий,"непохожий, различный"
похолодание,потепление
почёт,"позор, презрение, срам"
почитать,оскорблять
почтенный,презренный
почтительно,пренебрежительно
почтительный,"непочтительный, презрительный"
появление,исчезновение
появляться,"исчезать, скрываться, пропадать"
правда,"ложь, обман, неправда, враньё, кривда"
правдиво,ложно
правдивость,лживость
правдивый,"лживый, обманчивый"
праведник,грешник
праведный,"грешный, неправедный"
правило,исключение
правильно,"неверно, неправильно"
правильный,"ложный, неправильный"
право,бесправие
правота,"виноватость, виновность, неправота"
правый,"виноватый, виновный, неправый, неправый"
прадеды,"внуки, правнуки"
праздник,будни
праздники,будни
празднично,"буднично, повседневно"
праздничный,"повседневный, будничный, расхожий"
пращуры,"потомки, правнуки"
превозносить,"бранить, ругать, унижать"
предварительно,окончательно
предварительный,окончательный
предвзятый,"объективный, беспристрастный, непредвзятый"
предвоенный,послевоенный
предисловие,послесловие
предки,потомки
преднамеренно,случайно
предшественник,преемник
предшествующий,последующий
предыдущий,"последующий, следующий"
прежде,"ныне, после, потом, теперь"
прежний,"нынешний, теперешний"
прекрасно,"безобразно, уродливо"
прекрасный,"безобразный, гадкий, отвратительный, скверный, уродливый"
пресный,соленый
преувеличение,"преуменьшение, умаление"
преувеличивать,"преуменьшать, умалять"
преуменьшать,"преувеличивать, утрировать"
преходящий,непреходящий
прибавление,вычитание
прибавлять,"отнимать, сбавлять, убавлять"
прибавляться,убавляться
прибегать,убегать
приближать,"отдалять, удалять"
приближаться,"отдаляться, удаляться"
приближение,"отдаление, удаление"
прибывать,"выбывать, отбывать, убывать"
прибыль,убыток
прибыльный,убыточный
прибытие,"отбытие, отправление"
прибыток,убыток
привет,прощай(те)
привилегированный,непривилегированный
привинчивать,отвинчивать
привлекательность,непривлекательность
привлекательный,непривлекательный
приводить,уводить
привозить,"отвозить, увозить"
привыкать,отвыкать
привычка,отвычка
привычный,непривычный
привязываться,"отвязываться, отставать"
пригонять,угонять
придвигать,отодвигать
придвигаться,отодвигаться
приезд,отъезд
приезжать,уезжать
прижизненный,посмертный
приземлиться,"взлететь, подняться, взмыть, взвиться"
приземляться,взлетать
признавать,"отвергать, отрицать"
признаваться,"отказываться, отпираться"
признание,"непризнание, отрицание"
прийти,"пройти, уйти"
приказывать,выполнять
прикреплять,откреплять
прилежный,ленивый
прилепляться,отлепляться
прилет,отлет
прилетать,улетать
прилив,отлив
приливный,отливный
приличие,неприличие
прилично,неприлично
приличный,неприличный
примирение,"раздор, ссора"
примирять,ссорить
принимать,"исключать, отвергать, отклонять"
приносить,уносить
принципиальность,беспринципность
принципиальный,беспринципный
приобретать,"терять, утрачивать"
приобретаться,утрачиваться
приобретение,"потеря, утрата"
приставать,"отвязываться, отставать"
пристёгивать,отстегивать
пристёгиваться,отстегиваться
пристойно,непристойно
пристойность,непристойность
пристойный,непристойный
пристрастный,беспристрастный
присутствие,отсутствие
присутствовать,отсутствовать
приток,отток
приучить,отучить
прихлынуть,отхлынуть
приход,расход
приходный,расходный
прицеплять,отцеплять
прицепляться,"отставать, отцепляться"
причаливать,отчаливать
причудливый,"простой, незамысловатый, незатейливый, немудрёный"
пришивать,отрывать
приязнь,неприязнь
приятно,"неприятно, противно"
приятность,неприятность
приятный,"неприятный, противный"
про,контра
провал,"удача, успех"
провожать,встречать
проворный,"неповоротливый, неуклюжий, нерасторопный"
прогресс,"консерватизм, отсталость, регресс"
прогрессивный,консервативный
продлевать,"сокращать, укорачивать"
продление,сокращение
продолжительный,"короткий, краткий, непродолжительный"
продольный,поперечный
продрогнуть,"обогреться, согреться"
прозрачный,мутный
проигрывать,отыгрывать
производительный,непроизводительный
производить,потреблять
производство,потребление
проливной,моросящий
пролог,эпилог
промочить,высушить
проницательный,непроницательный
прописываться,выписываться
просвещать,затуманивать
просвещение,невежество
прославить,"обесславить, опозорить, посрамить"
простительный,непростительный
просто,сложно
простой,"сложный, замысловатый, причудливый, затейливый, вычурный, изысканный, непростой"
простор,теснота
просторно,тесно
просторный,"тесный, узкий"
простота,"затейливость, вычурность, изысканность, сложность"
просыпаться,засыпать
противник,"сторонник, соратник, союзник"
прохлада,"зной, жара, духота"
прохладный,"знойный, жаркий, душный"
проходимый,непроходимый
прочный,"хрупкий, ломкий"
прошедший,"будущий, грядущий, настоящий, предстоящий"
прошлое,настоящее
прошлый,"будущий, грядущий, настоящий"
прощаться,"здороваться, встречаться"
прояснять,затемнять
прямизна,кривизна
прямо,"криво, извилисто, косвенно, косо"
прямой,"косой, кривой, извилистый, изогнутый, косвенный, обратный, окольный"
прямолинейный,извилистый
прятаться,искать
работа,"безделье, бездеятельность, праздность"
работать,"отдыхать, лодырничать, лентяйничать, бездельничать"
работящий,ленивый
рабочий,"(одежда), нарядный, праздничный"
равенство,неравенство
равнодушие,неравнодушие
равнодушный,"неравнодушный, отзывчивый"
ради,"шутки, всерьез"
радовать,"огорчать, расстраивать, печалить, удручать"
радоваться,"огорчаться, тосковать, грустить, печалиться, хмуриться, унывать, расстраиваться, горевать, скорбеть, страдать, тужить"
разговаривать,молчать
разговорчивость,молчаливость
разговорчивый,"неразговорчивый, молчаливый, несловоохотливый"
разгоняться,"притормаживать, тормозить"
разгораться,"гаснуть, тухнуть, угасать"
различие,сходство
разно,одинаково
разносторонний,"односторонний, однобокий"
разноцветный,"одноцветный, однотонный"
разный,одинаковый
разрешать,"запрещать, воспрещать"
разрушать,"строить, восстанавливать, реставрировать, создавать, творить, строить, созидать"
разуваться,обуваться
разум,"безумие, глупость, дурь, инстинкт, сердце, чувство"
разумно,неразумно
разумный,"безумный, неразумный"
разъединять,"объединять, соединять"
рай,"ад, преисподняя"
райский,адский
ранний,поздний
рано,поздно
раньше,"потом, теперь"
раскаленный,ледяной
раскапывать,закапывать
раскрывать,закрывать
раскрываться,закрываться
распахивать,запахивать
расположение,"нерасположение, антипатия, неприязнь"
рассвет,"закат, сумерки"
рассказывать,"молчать, умалчивать"
расстёгивать,застёгивать
расстраивать,успокаивать
расстраиваться,успокаиваться
рассудительность,безрассудство
рассудительный,безрассудный
рассудок,"сердце, страсть"
расти,падать
растолстеть,похудеть
растягивание,сжатие
растягивать,"сжимать, сокращать"
растягиваться,сжиматься
растяжение,сжатие
растянуто,сжато
расцвет,"увядание, угасание, упадок"
расцветать,"завядать, отцветать, увядать"
расширение,"сужение, суживание"
расширять,"сокращать, сжимать, суживать, сужать"
расширяться,"сжиматься, сужаться"
расщедриться,поскупиться
рваный,"целый, неповреждённый"
рвать,/ об одежде  зашивать
реальность,"нереальность, фантазия, фантастика"
реальный,"идеальный, нереальный, сказочный, фантастический, фантастичный"
ребенок,взрослый
революционный,контрреволюционный
революция,контрреволюция
регулярный,эпизодический
редкий,"густой, частый, нередкий, устойчивый, распространённый"
резвый,"неповоротливый, медлительный, медленный, неуклюжий"
религиозный,антирелигиозный
ремонтировать,"/обувь/, рвать, порвать, ломать"
рентабельный,нерентабельный
робость,смелость
ровно,"криво, извилисто"
рогатый,безрогий
родимый,чужой
родина,чужбина
родить,убивать
родиться,"помирать, умирать"
родной,чужой
рождаемость,смертность
рождаться,умирать
рождение,"кончина, смерть"
ронять,"поднимать, подымать"
роскошь,нищета
рослый,"малорослый, низкорослый"
рукотворный,нерукотворный
рыхлый,-/ о грибе/: крепкий
садить,"/овощи/- убирать, собирать"
сажать,"выпускать, освобождать"
сбережение,трата
сближать,"отдалять, разобщать"
сближаться,"отдаляться, расходиться"
сборка,разборка
свежесть,духота
свежий,"/продукт, испорченный, порченый, тухлый, /о хлебе: чёрствый, гнилой, душный"
свёртывать,развертывать
свёртываться,развертываться
сверху,"снизу, внизу"
свет,"тьма, мрак, темнота, тень, мгла, сумрак, темь"
светать,"смеркаться, темнеть"
светлеть,темнеть
светло,темно
светлый,"тёмный, мрачный"
свивать,развивать
свиваться,развиваться
свидание,разлука
свинчивать,развинчивать
свобода,"гнет, иго, кабала, неволя, несвобода, рабство, тюрьма, угнетение"
свободно,тесно
свободный," об одежде, обуви/- тесный, скованный, занятый, подневольный, рабский, тесный, угнетенный"
сводить,разводить
свой,чужой
сворачиваться,"распрямляться, выпрямляться"
связывать,"развязывать, разъединять"
святая,блудница
святой,"греховный, грешник, грешный"
сгибать,"выпрямлять, разгибать"
сгибаться,"выпрямляться, разгибаться, распрямляться"
сгребать,разгребать
сгущать,разрежать
сгущаться,"разрежаться, рассеиваться, редеть"
сдавать,принимать
сдатчик,приемщик
сдача,"прием, приемка"
сдвигать,раздвигать
сдвигаться,раздвигаться
сдружиться,раздружиться
север,юг
севернее,южнее
северный,южный
северовосток,югозапад
северозапад,юговосток
сегодня,завтра
сегодняшний,завтрашний
седлать,расседлывать
сейчас,потом
сердечный,бессердечный
серьезно,легкомысленно
серьезность,легкомыслие
серьезный,"несерьёзный, легкомысленный, легкомысленный, несерьезный, смешной"
серьёзный,"несерьёзный, легкомысленный, легкомысленный, несерьезный, смешной"
сжимать,разжимать
сжиматься,разжиматься
сзади,"спереди, впереди"
сидеть,"встать, подняться"
сила,"слабость, бессилие"
сильно,слабо
сильный,"слабый, немощный, лёгкий, слабосильный, бессильный"
симпатичный,"противный, безобразный, неприятный, несимпатичный"
симпатия,"антипатия, неприязнь"
систематический,несистематический
сиять,"угасать, тускнеть"
складывать,"разбрасывать,"
склепывать,расклепывать
скоро,"медленно, тихо"
скорый,"медленный, тихий"
скрывать,"обнажать, открывать, раскрывать"
скрытый,"открытый, явный"
скряга,расточитель
скупец,"мот, расточитель"
скупой,"щедрый, расточительный"
скупость,"расточительность, расточительство"
скучно,"интересно, весело"
слабый,"сильный, крепкий"
слава,"бесславие, позор, срам"
славить,позорить
славный,позорный
сладкий,"кислый, горький"
сладко,горько
слева,справа
слетаться,разлетаться
сливаться,разливаться
словесный,бессловесный
словоохотливый,молчаливый
сложный,"простой, элементарный"
сломанный,отремонтированный
смелеть,робеть
смело,трусливо
смелость,"робость, трусость"
смелый,"трусливый, боязливый, пугливый, несмелый, робкий, трус"
смельчак,трус
смертный,бессмертный
смерть,"бессмертие, воскресение"
смех,"плач, слезы"
смешливость,плаксивость
смешливый,плаксивый
смешно,"печально, трагично"
смеяться,"плакать, реветь, рыдать"
смирный,буйный
смыкать,размыкать
смыкаться,"размыкаться, раскрываться"
смысл,"бессмысленность, бессмыслие, бессмыслица"
смягчать,отягчать
снежный,бесснежный
снимать,"надевать, обувать"
собирать,разбирать
собственный,чужой
совершенство,несовершенство
совесть,бессовестность
совместный,раздельный
современный,"старинный, древний, устаревший, несовременный"
согласие,"несогласие, отказ, раздор, возражение"
согласно,вопреки
соглашаться,"возражать, отказываться, противоречить, спорить"
согнуть,разогнуть
согревать,"замораживать, остужать, охлаждать"
согреваться,стыть
содействовать,"препятствовать, противодействовать"
соединение,"разделение, разъединение"
соединённость,разобщенность
соединять,"разделять, разъединять"
соединяться,разъединяться
создавать,"разрушать, рушить, уничтожать"
создаваться,"разрушаться, уничтожаться"
созидание,разрушение
созидатель,разрушитель
созидательный,разрушительный
созидать,разрушать
созидаться,разрушаться
сознание,бессознательность
сознательно,"бессознательно, инстинктивно, интуитивно, машинально, несознательно, подсознательно, случайно, стихийно"
сознательность,бессознательность
сознательный,"бессознательный, машинальный, стихийный"
солнечно,ненастно
солнечный,"пасмурный, непогожий, ненастный, дождливый, хмурый"
солнце,тьма
сомнительный,несомненный
сон,"бдение, бессонница, бодрствование, действительность, явь"
соответствие,несоответствие
соратник,противник
сосредоточенность,рассеянность
сосредоточенный,рассеянный
сосредоточивать,рассеивать
состоятельный,бедный
сострадание,жестокость
сохнуть,"мокнуть, мокнуть"
союз,разрыв
союзник,"враг, противник"
спасать,губить
спасаться,гибнуть
спасение,"гибель, смерть"
спасительность,пагубность
спасительный,"губительный, пагубный"
спать,"бдеть, бодрствовать"
спелый,"неспелый, зелёный"
спешить,медлить
сплетать,расплетать
сплетаться,расплетаться
спокойно,"беспокойно, тревожно"
спокойный,"неугомонный, суетливый, шумливый, беспокойный, бурный, неспокойный, тревожный"
спокойствие,"беспокойство, волнение, тревога"
сползаться,расползаться
спорный,бесспорный
способный,"неспособный, тупой"
способствовать,"препятствовать, противодействовать"
справа,слева
справедливо,несправедливо
справедливость,несправедливость
справедливый,"незаконный, несправедливый"
спрашивать,отвечать
спрос,ответ
спускаться,"подниматься, взбираться"
спутать,распутать
спутаться,распутаться
спячка,бодрствование
сразу,постепенно
старинный,современный
старт,финиш
стартовать,финишировать
старый,"новый, молодой, юный"
степенный,ветреный
стирать,"-/об одежде, пачкать, грязнить"
стискивать,разжимать
сторонник,противник
стоять,двигаться
страх,бесстрашие
страшный,нестрашный
стремительно,медлительно
стремительный,медлительный
строгий,"ласковый, нежный"
строго,ласково
строительство,разрушение
строить,"разрушать, ломать, разорять, разорять, рушить"
строиться,разрушаться
стройный,"толстый, полный"
стужа,"зной, жара"
стыд,"бесстыдность, бесстыдство"
сухо,"мокро, сыро, влажно"
сухой,"мокрый, влажный, сырой"
суша,"водоём, вода"
сушить,"вымочить, промочить, мочить"
существенный,несущественный
сходиться,"расходиться, расходиться, расходиться"
сходный,"несходный, несхожий, отличный, различный"
сходство,"различие, разница, несходство, отличие, противоположность"
схожесть,несхожесть
сцеплять,расцеплять
счастливец,несчастливец
счастливо,несчастливо
счастливый,"несчастный, злосчастный, несчастливый"
счастье,"несчастье, горе, беда, злосчастье"
съедобный,ядовитый
съезжать,въезжать
съезжаться,разъезжаться
сырой,сухой
сырость,"засуха, сушь, сухость"
сытно,голодно
сытость,голод
сытый,голодный
сюда,отсюда
тайно,"открыто, явно"
тайный,"явный, открытый"
такт,бестактность
тактичный,"бестактный, нетактичный"
талант,"посредственность, серость, бездарность, бездарность, бездарь, бесталанность"
талантливо,бездарно
талантливость,"бездарность, посредственность"
талантливый,"бездарный, бесталанный, неталантливый, посредственный"
твёрдый,мягкий
творение,разрушение
творец,разрушитель
творить,разрушать
тезис,антитезис
теперь,"попозже, после, потом"
тепло,"прохлада, стужа, холод, холодно, морозно, холодно, прохладно, студёно"
теплолюбивый,морозостойкий
тёплый,"прохладный, студёный, холодный"
теплынь,холод
терпение,нетерпение
терпимость,нетерпимость
терпимый,"нестерпимый, нетерпимый"
тесный,"об одежде, об обуви, свободный, широкий"
тихий,"громкий, громогласный, быстрый, шумный, оглушительный, неподатливый, неистовый, скорый, непослушный, оглушительный, буйный"
тихо,"громко, быстро, оглушительно, шумно"
тишина,"шум, гром, звучание, грохот, гул"
тишь,шум
тленный,бессмертный
товарищ,"враг, противник"
товарищеский,"вражий, враждебный, вражеский"
товарищество,вражда
тогда,"ныне, нынче, сейчас, теперь"
тогдашний,"нынешний, теперешний"
тождественность,"несхожесть, отличие"
тожественный,отличающийся
толерантный,незаконный
толкать,сдерживать
толковый,бестолковый
толстеть,"худеть, сохнуть, таять"
толсто,"тонко, тонко"
толстый,"поджарый, тощий, худощавый, худой, тонкий, костлявый"
толщина,"тонкость, худоба, худощавость"
тонкий,"толстый, кустарный, примитивный, простой, широкий, топорный"
тонко,толсто
тонкость,"толщина, простота"
тонуть,"подниматься, всплывать, выплывать"
топорный,высокого качества
топорщиться,выпрямляться
торгашеский,неподкупный
торговать,закупать
торговец,покупатель
торговый,"некоммерческий, неторговый"
торжественность,будничность
торможение,отправление
тормозить,"погонять, подгонять, возбуждаться, возбуждать, поторапливать, пробуждаться, подхлёстывать, помогать, порождаться, способствовать, ускорять, активировать, порождать, помогать, активировать, порождать, поторапливать, пробуждаться, способствовать, помогать, способствовать, разгоняться, трогаться"
тормозиться,"двигать, мчаться, передвигать, перемещаться, спешить, убыстряться, перемещаться, двигать, передвигать, спешить, убыстряться, мчаться"
тормозящий,"развивающий, продвигающий, разрешающий, движущий, усиливающий, ускоренный"
тормозящийся,"подвижный, скользящий, подвижной, убыстренный, передвигающийся"
торопить,"останавливать, оттягивать"
торопиться,"медлить, мешкать, ползти"
торопливо,медлительно
торопливость,медлительность
торопливый,"медлительный, неторопливый"
тоска,"радость, веселье"
тоскливо,"весело, радостно"
тоскливый,"веселый, радостный, радостный, веселый"
тосковать,веселиться
тот,"другой, этот"
тоталитаризм,"демократия, демократизм"
тоталитарный,"демократический, демократичный"
тотальный,отдельный
точный,неверный
тощий,толстый
трагедийный,смешной
трагедия,"комедия, счастье"
трагизм,комизм
трагически,"комически, смешно"
трагический,"комический, смешной"
традиционный,нетрадиционный
транжира,накопитель
транжирить,"накоплять, копить, накапливать, сберегать, сохранять, экономить"
трансзвуковой,сверхзвуковой
трансмиттер,"получатель, приемник"
транспортабельность,"статичность, устойчивость"
транспортируемость,устойчивость
трансцендентный,познаваемый
трата,"доход, прибыль, приход"
тратить,"беречь, заготавливать, заготовлять, запасать, зарабатывать, копить, накапливать, накоплять, сберегать, собирать, экономить, заготавливать, заготовлять, запасать, копить, беречь, накоплять, зарабатывать, накапливать, сберегать, собирать, экономить"
тратиться,"сберегаться, держаться, оставаться, оставляться"
трафаретность,"небанальность, нестандартность"
требовательно,снисходительно
требовательность,"неприхотливость, нетребовательность, снисходительность"
требовательный,снисходительный
требовать,отвечать
требуемый,ненужный
требующийся,ненужный
тревога,"покой, спокойствие, надежность, успокоение"
тревожить,успокаивать
тревожиться,"находиться в состоянии покоя, успокаиваться"
тревожно,спокойно
тревожный,спокойный
трезвенник,"алкоголик, пьяница"
трезветь,"пьянеть, хмелеть"
трезвость,пьянство
трезвый,пьяный
тренированный,"неопытный, слабый"
третьесортный,хороший
трехмерный,плоский
тривиальность,"нетривиальность, оригинальность"
триумф,поражение
триумфальный,пораженческий
трогаться,останавливаться
тронутый,"невозделанный, незатронутый, нетронутый, целинный"
труд,"праздность, лень, безделье"
трудиться,"бездельничать, лениться, лодырничать"
трудно,"легко, безбедно, нетрудно, несложно, просто, радостно, радостно, нетрудно, несложно, просто"
труднореализуемый,легкореализуемый
трудность,легкость
трудный,"лёгкий, доходчивый, беспрепятственный, простой, азбучный, несложный"
трудолюбиво,"лениво, лениво"
трудолюбивый,ленивый
трудолюбие,лень
трудоспособность,"инвалидность, неработоспособность"
труженик,"бездельник, лентяй, лодырь, тунеядец"
трус,"храбрый, герой, храбрец, смелый, смельчак"
трусить,"храбриться, осмеливаться, отваживаться, решаться, сметь, пренебрегать опасностью"
трусливо,"геройски, геройски, храбро, смело, мужественно, храбро, мужественно, геройски, смело, мужественно, храбро, смело, смело, храбро, мужественно"
трусливый,"геройский, мужественный, храбрый, смелый, отважный, неустрашимый, геройский, бесстрашный"
трусость,"мужество, героизм, смелость, геройство, храбрость, отвага, неустрашимость"
тугой,ослабленный
туда,"назад, обратно, оттуда, сюда"
тужить,радоваться
туземец,иностранец
туземный,иностранный
туманно,"ясно, очевидно, понятно, ясно, ясно, очевидно, понятно"
туманность,"определенность, понятность, четкость, ясность"
туманный,"ясный, вразумительный, отчетливый, четкий, ясный, отчетливый, вразумительный, четкий"
тупить,острить
тупица,умница
тупо,остро
тупой,"острый, заостренный, резкий, остроконечный, умный"
тупость,острота
тускло,"ярко, ослепительно"
тусклость,яркость
тусклый,"яркий, ослепительный"
тут,там
тутошний,приходящий
тухнуть,"разгораться, вспыхивать, зажигаться, загораться"
тучность,худоба
тучный,"тощий, худой"
тушить,"зажигать, зарождать, рождать, усиливать"
тушиться,рождаться
тщание,"невнимательность, поверхностность"
тщательность,"небрежность, невнимательность, поверхностность, упущение"
